,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
13800,0,0,0,0,0,297,867,184,513,489,73,436,93,245,106,159,57,349,399,28,132,463,3,374,268,330,0,216,819,627,0,0,0
13900,0,0,0,0,0,307,877,194,523,499,83,446,103,255,116,169,67,359,409,38,142,473,13,384,278,340,0,226,829,637,0,0,0
14000,0,0,0,0,0,317,887,204,533,509,93,456,113,265,126,179,77,369,419,48,152,483,23,394,288,350,0,236,839,647,0,0,0
14100,0,0,0,0,0,327,897,214,543,519,103,1,123,275,136,189,87,379,429,58,162,493,33,404,298,360,0,246,849,657,0,0,0
14200,0,0,0,0,0,337,907,224,553,529,113,11,133,285,146,199,97,389,439,68,172,503,43,414,308,370,0,256,859,667,0,0,0
14300,0,0,0,0,0,347,917,234,563,539,123,21,143,295,156,209,107,399,449,78,182,513,53,424,318,380,0,266,869,677,0,0,0
14400,0,0,0,0,0,357,927,244,9,549,133,31,153,305,166,219,117,409,459,88,192,523,63,434,328,390,0,276,879,687,0,0,0
14500,0,0,0,0,0,367,937,254,19,559,143,41,163,315,176,229,127,419,469,98,202,533,73,444,338,400,0,286,889,697,0,0,0
14600,0,0,0,0,0,377,947,264,29,569,153,51,173,325,186,239,137,429,7,108,212,543,83,454,348,410,0,296,899,707,0,0,0
14700,0,0,0,0,0,387,957,274,39,579,163,61,183,335,196,249,147,439,17,118,222,553,93,464,358,420,0,306,909,717,0,0,0
14800,0,0,0,0,0,397,967,284,49,589,173,71,193,345,206,259,157,449,27,128,232,563,103,474,368,430,0,316,919,727,0,0,0
14900,0,0,0,0,0,407,977,294,59,599,183,81,203,355,216,269,167,5,37,138,242,573,113,484,378,440,0,326,929,737,0,0,0
15000,0,0,0,0,0,417,987,304,69,609,193,91,213,365,226,279,177,15,47,148,252,583,123,494,388,450,0,336,939,747,0,0,0
15100,0,0,0,0,0,427,997,314,79,619,203,101,223,375,236,289,187,25,57,158,262,593,133,504,398,460,0,346,949,757,0,0,0
15200,0,0,0,0,0,437,0,324,89,629,213,111,233,385,246,299,197,35,67,168,272,5,143,514,408,470,0,356,959,767,0,0,0
15300,0,0,0,0,0,447,0,334,99,639,223,121,243,395,256,309,207,45,77,178,282,15,153,524,418,480,0,366,969,777,0,0,0
15400,0,0,0,0,0,457,0,344,109,649,233,131,253,405,266,319,217,55,87,188,292,25,163,534,428,6,0,376,979,787,0,0,0
15500,0,0,0,0,0,467,0,354,119,659,243,141,263,415,276,329,227,65,97,198,302,35,173,544,438,16,0,386,989,797,0,0,0
15600,0,0,0,0,0,477,0,364,129,669,253,151,273,425,286,339,237,75,107,208,312,45,183,2,448,26,0,396,999,807,0,0,0
15700,0,0,0,0,0,487,0,374,139,679,263,161,283,435,296,349,247,85,117,218,322,55,193,12,0,36,0,406,0,817,0,0,0
15800,0,0,0,0,0,497,0,384,149,689,273,171,293,445,306,359,257,95,127,228,332,65,203,22,10,46,0,416,0,827,0,0,0
15900,0,0,0,0,0,507,0,394,159,699,283,181,303,455,316,369,267,105,137,238,342,75,213,32,20,56,0,426,0,837,0,0,0
16000,0,0,0,0,0,517,0,404,169,709,293,191,313,7,326,379,277,115,147,248,352,85,223,42,30,66,0,436,0,847,0,0,0
16100,0,0,0,0,0,527,0,414,179,719,303,201,323,17,336,389,287,125,157,258,362,95,233,52,40,76,0,446,0,857,0,0,0
16200,0,0,0,0,0,537,0,424,189,729,313,211,333,27,346,399,297,135,167,268,372,105,243,62,50,86,0,456,0,867,0,0,0
16300,0,0,0,0,0,547,9,434,199,739,323,221,343,37,356,409,307,145,177,278,382,115,253,72,60,96,0,466,0,877,0,0,0
16400,0,0,0,0,0,557,19,444,209,749,333,231,353,47,366,419,317,155,187,288,392,125,263,82,70,106,0,476,0,887,0,0,0
16500,0,0,0,0,0,567,29,454,219,1,343,241,363,57,376,429,327,165,197,298,402,135,273,92,80,116,0,486,0,897,0,0,0
16600,0,0,0,0,0,577,39,464,229,11,353,251,373,67,386,439,337,175,207,308,412,145,283,102,90,126,0,496,0,907,0,0,0
16700,0,0,0,0,0,587,49,474,239,21,363,261,383,77,396,6,347,185,217,318,422,155,293,112,100,136,0,506,0,917,0,0,0
16800,0,0,0,0,0,597,59,484,249,31,373,271,393,87,406,16,357,195,227,328,432,165,303,122,110,146,0,516,0,927,0,0,0
16900,0,0,0,0,0,607,69,494,259,41,383,281,403,97,416,26,367,205,237,338,4,175,313,132,120,156,0,526,0,937,0,0,0
17000,0,0,0,0,0,617,79,504,269,51,393,291,413,107,426,36,377,215,247,348,14,185,323,142,130,166,0,536,0,947,0,0,0
17100,0,0,0,0,0,627,89,0,279,61,403,301,423,117,436,46,387,225,257,358,24,195,333,152,140,176,0,546,0,957,0,0,0
17200,0,0,0,0,0,637,99,10,289,71,413,311,433,127,446,56,397,235,267,368,34,205,343,162,150,186,0,556,0,967,0,0,0
17300,0,0,0,0,0,647,109,20,299,81,423,321,443,137,456,66,407,245,277,378,44,215,353,172,160,196,0,566,0,977,0,0,0
17400,0,0,0,0,0,657,119,30,309,91,433,331,453,147,466,76,417,255,287,388,54,225,363,182,170,206,0,576,0,987,0,0,0
17500,0,0,0,0,0,667,129,40,319,101,443,341,2,157,476,86,427,265,297,398,64,235,373,192,180,216,0,586,0,997,0,0,0
